,Speed Limit,110,90-110,50-90,50
Road Class,,,,,
Motorway,,"1300, 1700","1300, 1700","1100, 1600","600, 950"
Trunk,,"1300, 1700","1300, 1700","1100, 1600","600, 950"
Primary,,"1300, 1700","1200, 1600","1100, 1500","600, 950"
Secondary,,"1300, 1700","1200, 1600","600, 1200","500, 850"
Tertiary,,"1300, 1700","1200, 1600","600, 1200","500, 850"
